kanji,hanviet,description, description1, type
答,Đáp, trả lời , đáp án,5
頭,Đầu, cái đầu,,5
同,Đồng, giống nhau , đồng dạng,5
道,Đạo, đường đi,,5
読,Độc, đọc,,5
内,Nội, bên trong , nội dung,5
南,Nam, phía nam,,5
肉,Nhục, thịt,,5
馬,Mã, con ngựa,,5
売,Mại, bán,,5
買,Mãi, mua,,5
麦,Mạch, lúa mạch,,5
半,Bán,một nửa,,5
番,Phiên,lần lượt,,5
父,Phụ, cha,,5
風,Phong, gió,,5
分,Phân,phút , phân chia,5
聞,Văn/Vấn, nghe , hỏi,5
米,Mễ, gạo,,5
歩,Bộ, đường bộ , đi bộ,5
母,Mẫu, mẹ,,5
方,Phương, phương hướng,,5
北,Bắc, phía bắc,,5
毎,Mỗi, mỗi ngày,,5
妹,Muội, em gái,,5
万,Vạn, 1 vạn,,5
明,Minh,sáng , sáng suốt,5
鳴,Minh, kêu , réo,5
毛,Mao,lông,,5
門,Môn, cái cửa,,5
夜,Dạ, buổi tối,,5
野,Dã, hoang dã , dã cầu,5
友,Hữu, bạn hữu,,5
用,Dụng, sử dụng,,5
曜,Diệu, ngày,,5
来,Lai, đến , tương lai,5
里,Lý, đơn vị đo , hải lý..,5
理,Lý, vật lý , xử lý,5
話,Thoại , hội thoại , đàm thoại,5
